date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:52	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1724382850-ssl-df	https://onlyflix.netlify.app/robots.txt		(from )
14:46:52	101960/101960	---MCZ	200	added ('OK')	text/html	etag:%22cf2f9a0781b57b1fd180c42d0ee7736c-ssl-df%22	https://onlyflix.netlify.app/	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/index.html	(from )
14:46:53	11279/11279	---MCZ	200	added ('OK')	text/javascript	etag:W/%22eff48ccccc0d8f470b7cc59ce398e473%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/Onlyflix/cdn.utmify.com.br/scripts/utms/latest.js	(from https://onlyflix.netlify.app/)
14:46:53	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2020%20Sep%202024%2017:46:53%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/Onlyflix/www.googletagmanager.com/gtm.15445.delayed	(from https://onlyflix.netlify.app/)
14:46:54	230670/230670	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2020%20Sep%202024%2017:46:54%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/Onlyflix/connect.facebook.net/en_US/fbevents.js	(from https://onlyflix.netlify.app/)
14:46:54	31138/31138	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c67eb6909092e3b745f9b85d961e9666%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Meus%20Sites/Onlyflix/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://onlyflix.netlify.app/)
14:46:54	104484/104484	---M-Z	200	added ('OK')	text/css	etag:%22dbb60f540694d2e0e14e8cdbe00e2c0a-ssl-df%22	https://onlyflix.netlify.app/css/style.min_2.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/style.min_2.css	(from https://onlyflix.netlify.app/)
14:46:55	6051/6051	---M-Z	200	added ('OK')	text/css	etag:%22be5166acadbfa45f650edb04e79be9ef-ssl-df%22	https://onlyflix.netlify.app/css/style.min_1.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/style.min_1.css	(from https://onlyflix.netlify.app/)
14:46:55	15672/15672	---MCZ	200	added ('OK')	text/css	etag:%2238ac6022fb173443f07983ed79ba63b8-ssl-df%22	https://onlyflix.netlify.app/css/theme.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/theme.min.css	(from https://onlyflix.netlify.app/)
14:46:56	83564/83564	---MCZ	200	added ('OK')	text/css	etag:%228671158854a00eb792007cf690cbb215-ssl-df%22	https://onlyflix.netlify.app/css/frontend-lite.min_1.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/frontend-lite.min_1.css	(from https://onlyflix.netlify.app/)
14:46:56	1209/1209	---M-Z	200	added ('OK')	text/css	etag:%22c2a5a27cb56605724ebf31253fd69943-ssl-df%22	https://onlyflix.netlify.app/css/post-6.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/post-6.css	(from https://onlyflix.netlify.app/)
14:46:56	19402/19402	---MCZ	200	added ('OK')	text/css	etag:%228ab4f7e85ad9c0684070eb5a09ca558d-ssl-df%22	https://onlyflix.netlify.app/css/elementor-icons.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/elementor-icons.min.css	(from https://onlyflix.netlify.app/)
14:46:57	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%2208824a697b735d6d2a94947c158b6683-ssl-df%22	https://onlyflix.netlify.app/css/swiper.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/swiper.min.css	(from https://onlyflix.netlify.app/)
14:46:57	9055/9055	---M-Z	200	added ('OK')	text/css	etag:%22721b2bfd139c52a1b7622c239908b8b0-ssl-df%22	https://onlyflix.netlify.app/css/frontend-lite.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/frontend-lite.min.css	(from https://onlyflix.netlify.app/)
14:46:57	59290/59290	---M-Z	200	added ('OK')	text/css	etag:%2221be25ad48c4e41fea65424726168260-ssl-df%22	https://onlyflix.netlify.app/css/all.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/all.min.css	(from https://onlyflix.netlify.app/)
14:46:57	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%226ef1631f365da70903ab45725174b137-ssl-df%22	https://onlyflix.netlify.app/css/v4-shims.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/v4-shims.min.css	(from https://onlyflix.netlify.app/)
14:46:58	40207/40207	---M-Z	200	added ('OK')	text/css	etag:%225a987f70a5c766f54efeff42a779f4bd-ssl-df%22	https://onlyflix.netlify.app/css/global.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/global.css	(from https://onlyflix.netlify.app/)
14:46:58	51016/51016	---M-Z	200	added ('OK')	text/css	etag:%2200ab101d52334e963dc914fe3e3c3cad-ssl-df%22	https://onlyflix.netlify.app/css/post-119.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/post-119.css	(from https://onlyflix.netlify.app/)
14:46:58	25471/25471	---M-Z	200	added ('OK')	text/css	etag:%226fc20f4287725c7a9d6d07ead914f8c4-ssl-df%22	https://onlyflix.netlify.app/css/style.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/style.min.css	(from https://onlyflix.netlify.app/)
14:46:59	30961/30961	---M-Z	200	added ('OK')	text/css	etag:%22b1b9e61e4ed897d60daf8a0f6c8bd3a5-ssl-df%22	https://onlyflix.netlify.app/css/font-awesome.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/font-awesome.min.css	(from https://onlyflix.netlify.app/)
14:46:59	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%228ed837221f7aabad776996f80791d055-ssl-df%22	https://onlyflix.netlify.app/css/fontawesome.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/fontawesome.min.css	(from https://onlyflix.netlify.app/)
14:47:00	651/651	---M--	200	added ('OK')	text/css	etag:%2241c94c0227f24353dfcc225d74ea0d8e-ssl%22	https://onlyflix.netlify.app/css/solid.min.css	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/css/solid.min.css	(from https://onlyflix.netlify.app/)
14:47:00	87482/87482	---M-Z	200	added ('OK')	application/javascript	etag:%22529c066a7cd448e75a22fb83110cf0a5-ssl-df%22	https://onlyflix.netlify.app/js/jquery.min.js	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/js/jquery.min.js	(from https://onlyflix.netlify.app/)
14:47:01	13577/13577	---M-Z	200	added ('OK')	application/javascript	etag:%225a2c79b29b568ab8ba147833362f57a2-ssl-df%22	https://onlyflix.netlify.app/js/jquery-migrate.min.js	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/js/jquery-migrate.min.js	(from https://onlyflix.netlify.app/)
14:47:01	15055/15055	---M-Z	200	added ('OK')	application/javascript	etag:%22f27050828091bb0fafa92f8ebd394c9d-ssl-df%22	https://onlyflix.netlify.app/js/v4-shims.min.js	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/js/v4-shims.min.js	(from https://onlyflix.netlify.app/)
14:47:01	22774/22774	---M-Z	200	added ('OK')	application/javascript	etag:%22a8483e93899c2e01651176f9c23bc6f1-ssl-df%22	https://onlyflix.netlify.app/js/api.v2.js	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/js/api.v2.js	(from https://onlyflix.netlify.app/)
14:47:02	18692/18692	---M-Z	200	added ('OK')	application/javascript	etag:%22c2e186dd73d3f8f4628ff6c5d157cb47-ssl-df%22	https://onlyflix.netlify.app/js/wp-emoji-release.min.js	C:/Meus%20Sites/Onlyflix/onlyflix.netlify.app/js/wp-emoji-release.min.js	(from https://onlyflix.netlify.app/)
